,Province_State,Date,Confirmed Cases,new_cases,Confirmed_Cases_log,7day_avg,14day_avg,21day_avg
0,Alabama,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
18460,Michigan,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
4970,Connecticut,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
2130,Arizona,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
29820,Oregon,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
17750,Massachusetts,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
24850,New Mexico,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
36210,Vermont,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
7810,Florida,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
9940,Guam,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
17040,Maryland,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
30530,Pennsylvania,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
16330,Maine,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
39760,Wisconsin,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
10650,Hawaii,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
3550,California,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
29110,Oklahoma,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
36920,Virgin Islands,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
19170,Minnesota,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
19880,Mississippi,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
22720,Nevada,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
26270,North Carolina,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
40470,Wyoming,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
8520,Georgia,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
22010,Nebraska,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
25560,New York,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
2840,Arkansas,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
15620,Louisiana,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
21300,Montana,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
37630,Virginia,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
23430,New Hampshire,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
26980,North Dakota,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
27690,Northern Mariana Islands,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
9230,Grand Princess,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
20590,Missouri,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
28400,Ohio,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
4260,Colorado,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
31240,Puerto Rico,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
7100,District of Columbia,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
5680,Delaware,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
11360,Idaho,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
13490,Iowa,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
32660,South Carolina,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
33370,South Dakota,2020-01-22,0,0.0,0.0,0.0,0.0,0.0
